model_id,auc,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20190416_201430,0.6905626433540167,0.4305658593559191,0.4670390656373643,0.36540944983579504,0.1335240660292984
StackedEnsemble_BestOfFamily_AutoML_20190416_201430,0.6903475436572539,0.4304871428378093,0.4695500051761695,0.36534060791901823,0.13347375979463785
GBM_grid_1_AutoML_20190416_201430_model_1,0.6897475631080996,0.4366755983077925,0.4721184604498478,0.3683634775064709,0.13569165156066024
GBM_1_AutoML_20190416_201430,0.6888011181403005,0.4301091032568302,0.4753885345304761,0.3653563472916316,0.1334852605062833
GBM_2_AutoML_20190416_201430,0.6878514125501158,0.4304544706465723,0.4728123647338338,0.3655122487522997,0.13359920398796302
DeepLearning_grid_1_AutoML_20190416_201430_model_1,0.687053636893003,0.4312622003675911,0.4694616313494408,0.36559174206182254,0.1336573218637982
GBM_grid_1_AutoML_20190416_201430_model_6,0.6855362103651415,0.44229344991606384,0.4707652665395221,0.37093838492032793,0.13759528540730145
GBM_grid_1_AutoML_20190416_201430_model_9,0.6851078248640694,0.4313812816114838,0.4738408212046811,0.3659239513325023,0.1339003381587915
DeepLearning_1_AutoML_20190416_201430,0.6845708030971572,0.4317798868486355,0.4690309908128869,0.3660742188413196,0.13401033370028234
GBM_3_AutoML_20190416_201430,0.6843239232922089,0.4318391175205477,0.4683406006030266,0.3661129995422848,0.13403872843384906
GBM_grid_1_AutoML_20190416_201430_model_8,0.6841035230290553,0.4446577533364144,0.4771141668677704,0.3722393531784032,0.13856213605467602
GLM_grid_1_AutoML_20190416_201430_model_1,0.6837824599548031,0.4332624194730945,0.4777701849116491,0.36654506247335744,0.13435528282359752
GBM_5_AutoML_20190416_201430,0.6828081133754462,0.4319570302965612,0.4727934216137802,0.3660035877025037,0.1339586262111043
DeepLearning_grid_1_AutoML_20190416_201430_model_2,0.6820914820054279,0.43299865160800016,0.4771438536015841,0.36632621110830815,0.13419489294496875
GBM_4_AutoML_20190416_201430,0.6778284662077781,0.4348441618146476,0.4757764020033724,0.3675852613998084,0.13511892439836548
GBM_grid_1_AutoML_20190416_201430_model_3,0.672081020558805,0.4378417536290162,0.4833901224152177,0.3688105613472976,0.13602123016130874
DeepLearning_grid_1_AutoML_20190416_201430_model_3,0.6711008445894265,0.4452468859556647,0.4776621815901544,0.3701582225644386,0.13701710973206446
GBM_grid_1_AutoML_20190416_201430_model_4,0.6685048877469367,0.4387590871796521,0.4725350857901808,0.36891189224164017,0.1360959842373075
XRT_1_AutoML_20190416_201430,0.6658686978382277,0.4437112511332,0.4821980046207568,0.3704758825170855,0.1372523795268133
GBM_grid_1_AutoML_20190416_201430_model_5,0.6646068931453327,0.4425274918417372,0.4765156645587648,0.37070859338142864,0.13742486120683742
GBM_grid_1_AutoML_20190416_201430_model_7,0.6579192895017236,0.45114371168330697,0.4869718476054803,0.3744225341764162,0.14019223409908954
DRF_1_AutoML_20190416_201430,0.6554477295132779,0.4595341601723007,0.482389252453765,0.3746023723609189,0.14032693737842855
GBM_grid_1_AutoML_20190416_201430_model_2,0.5955833518955908,0.6446978207498353,0.4951204964098657,0.4167585126510204,0.1736876578670907
